Statistical profiling result from info.log, (4276 ticks, 4 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  T __ZN4node2fs13FSReqCallback6RejectEN2v85LocalINS2_5ValueEEE
      1    0.0%    0.0%  t __system_version_compat_open_shim
      1    0.0%    0.0%  t __ZZN4node11Environment27RunAndClearNativeImmediatesEbENK3$_7clEPNS_13CallbackQueueIvJPS0_EEE
      1    0.0%    0.0%  t __ZThn56_N4node12_GLOBAL__N_16Parser12OnStreamReadElRK8uv_buf_t
      1    0.0%    0.0%  t __ZNSt3__112__hash_tableImNS_4hashImEENS_8equal_toImEENS_9allocatorImEEE6removeENS_21__hash_const_iteratorIPNS_11__hash_nodeImPvEEEE
      1    0.0%    0.0%  t __ZN4nodeL8EnvQueryEN2v85LocalINS0_4NameEEERKNS0_20PropertyCallbackInfoINS0_7IntegerEEE
      1    0.0%    0.0%  t __ZN4nodeL14MakeUtf8StringIcEEvPN2v87IsolateENS1_5LocalINS1_5ValueEEEPNS_16MaybeStackBufferIT_Lm1024EEE
      1    0.0%    0.0%  t __ZN4node9inspector12_GLOBAL__N_120InspectorConsoleCallERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      1    0.0%    0.0%  t __ZN4node6Buffer12_GLOBAL__N_116EncodeUtf8StringERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      1    0.0%    0.0%  t __ZN4node6Buffer12_GLOBAL__N_111StringSliceILNS_8encodingE5EEEvRKN2v820FunctionCallbackInfoINS4_5ValueEEE
      1    0.0%    0.0%  t __ZN4node4utilL14SetHiddenValueERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      1    0.0%    0.0%  t __ZN4node2fs13FSReqCallbackD0Ev
      1    0.0%    0.0%  t __ZN4node2fs10GetReqWrapERKN2v820FunctionCallbackInfoINS1_5ValueEEEib
      1    0.0%    0.0%  t __ZN4node16MaybeStackBufferIcLm1024EE25AllocateSufficientStorageEm
      1    0.0%    0.0%  t __ZN4node15TraceEventScopeD2Ev
      1    0.0%    0.0%  t __ZN4node15TraceEventScopeC2EPKcS2_Pv
      1    0.0%    0.0%  t __ZN4node12_GLOBAL__N_118ToggleImmediateRefERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      1    0.0%    0.0%  t __ZN4node12_GLOBAL__N_111GetLibuvNowERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      1    0.0%    0.0%  t __ZN4node11Environment14AddCleanupHookEPFvPvES1_
      1    0.0%    0.0%  t __ZN4node10BaseObject17decrease_refcountEv
      1    0.0%    0.0%  t __ZN4node10AsyncHooks18push_async_contextEddN2v85LocalINS1_6ObjectEEE
      1    0.0%    0.0%  T _pthread_threadid_np
      1    0.0%    0.0%  T _pthread_cond_broadcast
      1    0.0%    0.0%  T _posix_spawnattr_destroy
      1    0.0%    0.0%  T _mach_timebase_info
      1    0.0%    0.0%  T _mach_port_get_attributes
      1    0.0%    0.0%  T __ZThn88_N4node15LibuvStreamWrap7IsAliveEv
      1    0.0%    0.0%  T __ZN4node9AsyncWrap20EmitTraceEventBeforeEv
      1    0.0%    0.0%  T __ZN4node7TCPWrap7ConnectERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      1    0.0%    0.0%  T __ZN4node6crypto7TLSWrap5StartERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      1    0.0%    0.0%  T __ZN4node6crypto4Hmac10HmacUpdateERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      1    0.0%    0.0%  T __ZN4node6crypto13SecureContext4InitERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      1    0.0%    0.0%  T __ZN4node6Buffer11HasInstanceEN2v85LocalINS1_5ValueEEE
      1    0.0%    0.0%  T __ZN4node27DTRACE_HTTP_SERVER_RESPONSEERKN2v820FunctionCallbackInfoINS0_5ValueEEE
      1    0.0%    0.0%  T __ZN4node21InternalCallbackScopeC2EPNS_11EnvironmentEN2v85LocalINS3_6ObjectEEERKNS_13async_contextEi
      1    0.0%    0.0%  T __ZN4node21InternalCallbackScopeC1EPNS_11EnvironmentEN2v85LocalINS3_6ObjectEEERKNS_13async_contextEi
      1    0.0%    0.0%  T __ZN4node21InternalCallbackScope5CloseEv
      1    0.0%    0.0%  T __ZN4node20InternalMakeCallbackEPNS_11EnvironmentEN2v85LocalINS2_6ObjectEEES5_NS3_INS2_8FunctionEEEiPNS3_INS2_5ValueEEENS_13async_contextE
      1    0.0%    0.0%  T __ZN4node11StringBytes11StorageSizeEPN2v87IsolateENS1_5LocalINS1_5ValueEEENS_8encodingE
      1    0.0%    0.0%  T __ZN4node10cares_wrap11ChannelWrap3NewERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      1    0.0%    0.0%  T __ZN4node10StreamBase8JSMethodIXadL_ZNS0_8ShutdownERKN2v820FunctionCallbackInfoINS2_5ValueEEEEEEEvS7_
      1    0.0%    0.0%  T __ZN4node10StreamBase8JSMethodIXadL_ZNS0_11WriteBufferERKN2v820FunctionCallbackInfoINS2_5ValueEEEEEEEvS7_
      1    0.0%    0.0%  T __ZN4node10HandleWrap5CloseERKN2v820FunctionCallbackInfoINS1_5ValueEEE

 [Summary]:
   ticks  total  nonlib   name
     44    1.0%    1.1%  JavaScript
   3992   93.4%   98.8%  C++
    296    6.9%    7.3%  GC
    236    5.5%          Shared libraries
      4    0.1%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
   2885   97.7%   67.5%  T __ZNK4node9inspector8protocol11BinaryValue8asBinaryEPNS1_6BinaryE
     23    0.8%    0.5%  T _task_get_special_port
     11    0.4%    0.3%  T __kernelrpc_vm_remap
      9    0.3%    0.2%  T _mach_ports_register
      8    0.3%    0.2%  T __kernelrpc_mach_port_set_attributes
      2    0.1%    0.0%  t __ZNSt3__124__put_character_sequenceIcNS_11char_traitsIcEEEERNS_13basic_ostreamIT_T0_EES7_PKS4_m
      2    0.1%    0.0%  t __ZN4node9inspector12_GLOBAL__N_120InspectorConsoleCallERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      2    0.1%    0.0%  t __ZN4node10task_queueL13RunMicrotasksERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      1    0.0%    0.0%  t __ZN4nodeL14MakeUtf8StringIcEEvPN2v87IsolateENS1_5LocalINS1_5ValueEEEPNS_16MaybeStackBufferIT_Lm1024EEE
      1    0.0%    0.0%  t __ZN4node2fsL4OpenERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      1    0.0%    0.0%  t __ZN4node2fs10GetReqWrapERKN2v820FunctionCallbackInfoINS1_5ValueEEEib
      1    0.0%    0.0%  t __ZN4node16MaybeStackBufferIcLm1024EE25AllocateSufficientStorageEm
      1    0.0%    0.0%  T _mig_strncpy_zerofill
      1    0.0%    0.0%  T _mach_timebase_info
      1    0.0%    0.0%  T __ZThn88_N4node15LibuvStreamWrap7IsAliveEv
      1    0.0%    0.0%  T __ZN4node6Buffer11HasInstanceEN2v85LocalINS1_5ValueEEE
      1    0.0%    0.0%  T __ZN4node2fs5CloseERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      1    0.0%    0.0%  T __ZN4node11StringBytes11StorageSizeEPN2v87IsolateENS1_5LocalINS1_5ValueEEENS_8encodingE

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   1635   38.2%  T __ZNK4node9inspector8protocol11BinaryValue8asBinaryEPNS1_6BinaryE
    557   34.1%    T __ZNK4node9inspector8protocol11BinaryValue8asBinaryEPNS1_6BinaryE
     47    8.4%      T __ZNK4node9inspector8protocol11BinaryValue8asBinaryEPNS1_6BinaryE
      5   10.6%        LazyCompile: ~readPackage node:internal/modules/cjs/loader:286:21
      4   80.0%          LazyCompile: ~readPackageScope node:internal/modules/cjs/loader:317:26
      2   50.0%            LazyCompile: ~trySelf node:internal/modules/cjs/loader:437:17
      2   50.0%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1118:37
      1   20.0%          LazyCompile: ~tryPackage node:internal/modules/cjs/loader:334:20
      1  100.0%            LazyCompile: ~Module._findPath node:internal/modules/cjs/loader:490:28
      5   10.6%        LazyCompile: ~header /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/response.js:754:29
      3   60.0%          LazyCompile: ~json /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/response.js:239:25
      3  100.0%            LazyCompile: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/dist/routes/index.js:57:21
      2   40.0%          LazyCompile: ~send /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/response.js:107:25
      2  100.0%            LazyCompile: ~json /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/response.js:239:25
      4    8.5%        LazyCompile: ~format /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/content-type/index.js:65:17
      4  100.0%          LazyCompile: ~setCharset /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/utils.js:250:41
      4  100.0%            LazyCompile: ~send /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/response.js:107:25
      3    6.4%        LazyCompile: ~checkInvalidHeaderChar node:_http_common:231:32
      3  100.0%          LazyCompile: ~<anonymous> node:_http_outgoing:562:45
      3  100.0%            LazyCompile: ~setHeader node:_http_outgoing:572:57
